-2.1158	-2.0623	-1.8438	-1.4779	-0.9937	-0.43	0.1681	0.7528	1.2772	1.6994	1.9857	2.1132	2.0715	1.8642	1.5077	1.0306	0.4711	-0.1261	-0.7133	-1.2434	-1.674	-1.9707	-2.1097	-2.08	-1.8838	-1.537	-1.0672	-0.512	0.0841	0.6735	1.2091	1.6479	1.9548	2.1054	2.0876	1.9027	1.5656	1.1033	0.5527	-0.0421	-0.6335	-1.1743	-1.6211	-1.9382	-2.1003	-2.0943	-1.9208	-1.5937	-1.139	-0.5932	

-2.0623	-3.9596	-3.5402	-2.8375	-1.9079	-0.8256	0.3228	1.4453	2.4522	3.2629	3.8126	4.0573 3.9774	3.5793	2.8948	1.9788	0.9045	-0.2422	-1.3695	-2.3873	-3.214	-3.7837	-4.0506	-3.9935	-3.6169	-2.951	-2.049	-0.9831	0.1615	1.2932	2.3214	3.1639	3.7533	4.0424	4.0081	3.6532	3.006	2.1184	1.0613	-0.0808	-1.2163	-2.2546	-3.1125	-3.7214	-4.0325	-4.0211	-3.688	-3.0599	-2.1869	-1.139	

-1.8438	-3.5402	-4.9533	-3.9702	-2.6694	-1.1551	0.4516	2.0222	3.431	4.5653	5.3344	5.6768	5.565	5.008	4.0504	2.7687	1.2655	-0.3389	-1.9162	-3.3402	-4.4969	-5.294	-5.6675	-5.5876	-5.0607	-4.129	-2.8669	-1.3755	0.226	1.8094	3.248	4.4268	5.2514	5.656	5.608	5.1114	4.2059	2.964	1.4849	-0.113	-1.7019	-3.1545	-4.3549	-5.2068	-5.6422	-5.6262	-5.1601	-4.2812	-3.0599	-1.5937	

-1.4779	-2.8375	-3.9702	-4.7852	-3.2174	-1.3922	0.5443	2.4373	4.1354	5.5026	6.4295	6.8422	6.7074	6.0361	4.8819	3.3371	1.5253	-0.4084	-2.3095	-4.0259	-5.4201	-6.3808	-6.831	-6.7347	-6.0996	-4.9766	-3.4554	-1.6578	0.2724	2.1808	3.9148	5.3356	6.3295	6.8171	6.7593	6.1608	5.0694	3.5724	1.7897	-0.1362	-2.0512	-3.8021	-5.2489	-6.2757	-6.8005	-6.7812	-6.2195	-5.1601	-3.688	-1.9208	

-0.9937	-1.9079	-2.6694	-3.2174	-3.508	-1.518	0.5935	2.6575	4.5089	5.9996	7.0103	7.4602	7.3133	6.5813	5.3228	3.6385	1.6631	-0.4453	-2.5181	-4.3895	-5.9097	-6.9571	-7.448	-7.343	-6.6506	-5.4261	-3.7675	-1.8076	0.297	2.3778	4.2684	5.8175	6.9012	7.4328	7.3698	6.7172	5.5272	3.8951	1.9513	-0.1485	-2.2365	-4.1456	-5.723	-6.8426	-7.4147	-7.3937	-6.7812	-5.6262	-4.0211	-2.0943	

